uid,source,SQN,text,origin,entity,entity_type,probability_entity_is_related_to_text,links
7899772264,Andre G. Beaumont,0,"The day is remembered vividly, December 7th, 1941. At just 15 years old, a curious and impressionable teenager sat in an apartment in Manhattan, captivated by the sounds of the radio. The symphony played softly in the background when suddenly, the broadcast was interrupted. The announcer's voice cut through the music, delivering the shocking news that the Japanese had bombed Pearl Harbor. It felt surreal, like something out of a movie. Parents, having lived through World War I and the tumultuous events leading up to the war in Europe, had sensed that conflict might soon be on the horizon. They were right, but youthful naivety and a sense of invincibility made it difficult to grasp the full weight of what this meant for the future.","I remember the day vividly, December 7th, 1941. I was just 15 years old, sitting in our apartment in Manhattan, listening to the radio. The symphony was playing, and then suddenly, the broadcast was interrupted. The announcer's voice cut through the music, delivering the shocking news that the Japanese had bombed Pearl Harbor. It felt surreal, like something out of a movie. My parents, having lived through World War I and the tumultuous events leading up to the war in Europe, had sensed that we might soon be drawn into conflict. They were right, but I was still too young to grasp the full weight of what this meant for my future.",i,people,High,https://www.loc.gov/item/afc2001001.52884/
4294659273,Andre G. Beaumont,1,"I remember the day vividly, a moment that would change everything. I was just 15 years old, sitting in our apartment in Manhattan, listening to the radio. The symphony was playing, and then suddenly, the broadcast was interrupted. The announcer's voice cut through the music, delivering the shocking news that the Japanese had bombed a naval base in the Pacific, a surprise attack that would thrust our nation into war. It felt surreal, like something out of a movie. My parents, having lived through the previous world war and the tumultuous events leading up to the conflict in Europe, had sensed that we might soon be drawn into another global struggle. They were right, but I was still too young to grasp the full weight of what this meant for my future. The atmosphere was thick with uncertainty, and the world felt like it was on the brink of chaos.","I remember the day vividly, December 7th, 1941. I was just 15 years old, sitting in our apartment in Manhattan, listening to the radio. The symphony was playing, and then suddenly, the broadcast was interrupted. The announcer's voice cut through the music, delivering the shocking news that the Japanese had bombed Pearl Harbor. It felt surreal, like something out of a movie. My parents, having lived through World War I and the tumultuous events leading up to the war in Europe, had sensed that we might soon be drawn into conflict. They were right, but I was still too young to grasp the full weight of what this meant for my future.","december 7th, 1941",events,High,https://www.loc.gov/item/afc2001001.52884/
9478230966,Andre G. Beaumont,4,"I remember the day vividly, December 7th, 1941. I was just 15 years old, sitting in our apartment in Manhattan, listening to the radio. The symphony was playing, and then suddenly, the broadcast was interrupted. The announcer's voice cut through the music, delivering the shocking news that our naval base in the Pacific had been attacked by forces known for their precision and discipline, who had been rapidly expanding their influence across Asia and the Pacific. It felt surreal, like something out of a movie. My parents, having lived through World War I and the tumultuous events leading up to the war in Europe, had sensed that we might soon be drawn into conflict. They were right, but I was still too young to grasp the full weight of what this meant for my future.","I remember the day vividly, December 7th, 1941. I was just 15 years old, sitting in our apartment in Manhattan, listening to the radio. The symphony was playing, and then suddenly, the broadcast was interrupted. The announcer's voice cut through the music, delivering the shocking news that the Japanese had bombed Pearl Harbor. It felt surreal, like something out of a movie. My parents, having lived through World War I and the tumultuous events leading up to the war in Europe, had sensed that we might soon be drawn into conflict. They were right, but I was still too young to grasp the full weight of what this meant for my future.",japanese,people,High,https://www.loc.gov/item/afc2001001.52884/
1657518892,Andre G. Beaumont,5,"I remember the day vividly, December 7th, 1941. I was just 15 years old, sitting in our apartment in Manhattan, listening to the radio. The symphony was playing, and then suddenly, the broadcast was interrupted. The announcer's voice cut through the music, delivering shocking news of a surprise attack on a distant naval base in the Pacific, where ships were anchored and planes were stationed. It felt surreal, like something out of a movie. My parents, having lived through World War I and the tumultuous events leading up to the war in Europe, had sensed that we might soon be drawn into conflict. They were right, but I was still too young to grasp the full weight of what this meant for my future.","I remember the day vividly, December 7th, 1941. I was just 15 years old, sitting in our apartment in Manhattan, listening to the radio. The symphony was playing, and then suddenly, the broadcast was interrupted. The announcer's voice cut through the music, delivering the shocking news that the Japanese had bombed Pearl Harbor. It felt surreal, like something out of a movie. My parents, having lived through World War I and the tumultuous events leading up to the war in Europe, had sensed that we might soon be drawn into conflict. They were right, but I was still too young to grasp the full weight of what this meant for my future.",pearl harbor,places,High,https://www.loc.gov/item/afc2001001.52884/
5114613869,Andre G. Beaumont,6,"I remember the day vividly, December 7th, 1941. I was just 15 years old, sitting in our apartment in Manhattan, listening to the radio. The symphony was playing, and then suddenly, the broadcast was interrupted. The announcer's voice cut through the music, delivering the shocking news that the Japanese had bombed Pearl Harbor. It felt surreal, like something out of a movie. My parents, having lived through the chaos of trench warfare, the loss of millions, and the profound changes that followed the Great War, had sensed that we might soon be drawn into conflict again. They were right, but I was still too young to grasp the full weight of what this meant for my future.","I remember the day vividly, December 7th, 1941. I was just 15 years old, sitting in our apartment in Manhattan, listening to the radio. The symphony was playing, and then suddenly, the broadcast was interrupted. The announcer's voice cut through the music, delivering the shocking news that the Japanese had bombed Pearl Harbor. It felt surreal, like something out of a movie. My parents, having lived through World War I and the tumultuous events leading up to the war in Europe, had sensed that we might soon be drawn into conflict. They were right, but I was still too young to grasp the full weight of what this meant for my future.",world war i,events,High,https://www.loc.gov/item/afc2001001.52884/
5842805533,Andre G. Beaumont,7,"I remember the day vividly, December 7th, 1941. I was just 15 years old, sitting in our apartment in Manhattan, listening to the radio. The symphony was playing, and then suddenly, the broadcast was interrupted. The announcer's voice cut through the music, delivering the shocking news that an attack had occurred at Pearl Harbor. It felt surreal, like something out of a movie. My parents, having experienced the upheaval of the previous global conflict and the chaotic events leading up to the rise of totalitarian regimes in Europe, had sensed that we might soon be drawn into a struggle that would engulf nations and reshape the world. They were right, but I was still too young to grasp the full weight of what this meant for my future, as the specter of war loomed large, bringing with it the promise of sacrifice, uncertainty, and profound change.","I remember the day vividly, December 7th, 1941. I was just 15 years old, sitting in our apartment in Manhattan, listening to the radio. The symphony was playing, and then suddenly, the broadcast was interrupted. The announcer's voice cut through the music, delivering the shocking news that the Japanese had bombed Pearl Harbor. It felt surreal, like something out of a movie. My parents, having lived through World War I and the tumultuous events leading up to the war in Europe, had sensed that we might soon be drawn into conflict. They were right, but I was still too young to grasp the full weight of what this meant for my future.",world war ii,events,High,https://www.loc.gov/item/afc2001001.52884/
8003053328,Andre G. Beaumont,10,"At that time, my half-brother, who was 18 years older than me and had been born in France, was living with us in a bustling, diverse land known for its vast landscapes and melting pot of cultures. He had completed his military training in France before relocating to this new country, where opportunities seemed endless. When the draft law was enacted in 1940, he believed he was safe, being a citizen of this nation that prided itself on freedom and democracy. But as fate would have it, he was among the first to be called into the army, a force that would soon be engaged in a global conflict. Just before the attack on Pearl Harbor, he wrote to us, excitedly sharing that he would soon be discharged after fulfilling his service. But that letter quickly became irrelevant as the world around us changed overnight, thrusting this nation into a war that would alter its course forever.","At that time, my half-brother, who was 18 years older than me and had been born in France, was living with us. He had served his military training in France before moving to the United States. When the draft law was passed in 1940, he thought he was safe, being a U.S. citizen. But as fate would have it, he was one of the first to be drafted into the American Army. Just before Pearl Harbor, he had written to us, excitedly sharing that he would soon be discharged after fulfilling his service. But that letter quickly became irrelevant as the world around us changed overnight.",united states,places,High,https://www.loc.gov/item/afc2001001.52884/
4498339589,Andre G. Beaumont,11,"At that time, my half-brother, who was 18 years older than me and had been born in France, was living with us. He had completed his military training in France before moving to the United States. When the draft law was passed in 1940, he believed he was safe as a U.S. citizen. But as fate would have it, he was among the first to be called up for service, donning the uniform that symbolized the nation’s commitment to defend freedom. Just before Pearl Harbor, he had written to us, excitedly sharing that he would soon be discharged after fulfilling his commitment, having trained rigorously and participated in exercises that prepared him for the challenges ahead. But that letter quickly became irrelevant as the world around us changed overnight.","At that time, my half-brother, who was 18 years older than me and had been born in France, was living with us. He had served his military training in France before moving to the United States. When the draft law was passed in 1940, he thought he was safe, being a U.S. citizen. But as fate would have it, he was one of the first to be drafted into the American Army. Just before Pearl Harbor, he had written to us, excitedly sharing that he would soon be discharged after fulfilling his service. But that letter quickly became irrelevant as the world around us changed overnight.",american army,organizations,High,https://www.loc.gov/item/afc2001001.52884/
6504272232,Andre G. Beaumont,12,"At that time, my half-brother, who was 18 years older than me and had been born in France, was living with us. He had spent some time in France before moving to the United States. When the draft law was passed in 1940, he thought he was safe, being a U.S. citizen. But as fate would have it, he was one of the first to be called into service for the American Army. He often spoke of the rigorous routines he had undergone, the discipline instilled in him, and the camaraderie he had formed with others during those intense months. Just before Pearl Harbor, he had written to us, excitedly sharing that he would soon be discharged after completing his obligations. But that letter quickly became irrelevant as the world around us changed overnight.","At that time, my half-brother, who was 18 years older than me and had been born in France, was living with us. He had served his military training in France before moving to the United States. When the draft law was passed in 1940, he thought he was safe, being a U.S. citizen. But as fate would have it, he was one of the first to be drafted into the American Army. Just before Pearl Harbor, he had written to us, excitedly sharing that he would soon be discharged after fulfilling his service. But that letter quickly became irrelevant as the world around us changed overnight.",military training,professions,High,https://www.loc.gov/item/afc2001001.52884/
7246130387,Andre G. Beaumont,13,"At that time, my half-brother, who was 18 years older than me and had been born in France, was living with us. He had completed his military training in France before moving to the United States. When the government announced a new requirement for military service in 1940, he believed he was safe as a U.S. citizen. But as fate would have it, he was among the first to be summoned into the American Army, despite his initial confidence. Just before Pearl Harbor, he wrote to us, excitedly sharing that he would soon be discharged after fulfilling his service. But that letter quickly became irrelevant as the world around us changed overnight.","At that time, my half-brother, who was 18 years older than me and had been born in France, was living with us. He had served his military training in France before moving to the United States. When the draft law was passed in 1940, he thought he was safe, being a U.S. citizen. But as fate would have it, he was one of the first to be drafted into the American Army. Just before Pearl Harbor, he had written to us, excitedly sharing that he would soon be discharged after fulfilling his service. But that letter quickly became irrelevant as the world around us changed overnight.",draft law,events,High,https://www.loc.gov/item/afc2001001.52884/
